Unnamed: 0,Cuisines
0,North Indian
0,Mughlai
0,Chinese
1,Chinese
1,North Indian
1,Thai
2,Cafe
2,Mexican
2,Italian
3,South Indian
3,North Indian
4,North Indian
4,Rajasthani
5,North Indian
6,North Indian
6,South Indian
6,Andhra
6,Chinese
7,Pizza
7,Cafe
7,Italian
8,Cafe
8,Italian
8,Continental
9,Cafe
9,Mexican
9,Italian
9,Momos
9,Beverages
10,Cafe
11,Cafe
11,Italian
11,Continental
12,Cafe
12,Chinese
12,Continental
12,Italian
13,Cafe
13,Continental
14,Cafe
14,Mexican
14,Italian
15,Cafe
16,Cafe
16,Fast Food
16,Continental
16,Chinese
16,Momos
17,Chinese
17,Cafe
17,Italian
18,Cafe
18,Italian
18,American
19,Cafe
19,Chinese
19,Continental
19,Italian
20,Cafe
20,French
20,North Indian
21,Cafe
21,Pizza
21,Fast Food
21,Beverages
22,Cafe
22,Fast Food
23,Italian
23,Fast Food
23,Cafe
23,European
24,Cafe
25,Cafe
25,Bakery
26,Cafe
26,South Indian
27,Cafe
27,Fast Food
27,Beverages
28,Cafe
28,Fast Food
29,North Indian
29,Cafe
29,Chinese
29,Fast Food
30,Cafe
30,Italian
31,North Indian
31,Fast Food
31,Chinese
31,Burger
32,Bakery
32,Desserts
33,Pizza
34,North Indian
34,Biryani
34,Fast Food
35,Biryani
36,North Indian
36,Chinese
36,Fast Food
37,Chinese
37,Thai
37,Momos
38,North Indian
38,Mughlai
38,South Indian
38,Chinese
39,South Indian
40,Street Food
40,Fast Food
41,South Indian
42,Burger
42,Fast Food
43,Pizza
43,Fast Food
44,Pizza
44,Cafe
44,Italian
45,North Indian
45,Continental
45,Italian
46,North Indian
46,Chinese
47,North Indian
47,Chinese
47,Biryani
47,Rolls
48,Chinese
48,Thai
49,North Indian
49,Chinese
49,Momos
49,Rolls
50,North Indian
51,Fast Food
51,Street Food
51,Beverages
52,Ice Cream
52,Desserts
53,Biryani
53,North Indian
53,Chinese
53,Andhra
53,South Indian
54,Italian
54,Continental
54,Fast Food
54,Chinese
54,Momos
55,Healthy Food
55,Chinese
55,Biryani
55,North Indian
55,Continental
55,Salad
55,American
55,Burger
56,Biryani
56,Fast Food
57,Asian
57,Korean
57,Indonesian
57,Japanese
57,Chinese
57,Thai
57,Momos
58,Fast Food
58,Burger
59,Desserts
59,Beverages
60,Italian
60,North Indian
60,Mexican
61,Goan
61,Seafood
61,North Indian
61,Chinese
61,Biryani
62,Chinese
63,North Indian
63,Chinese
64,Bakery
65,North Indian
65,Kebab
65,Chinese
65,Fast Food
66,South Indian
67,Continental
67,Italian
67,Mexican
67,North Indian
67,Chinese
67,Steak
68,Bakery
68,Desserts
69,Burger
69,Fast Food
69,Beverages
70,Italian
70,North Indian
70,Biryani
71,Biryani
71,Chinese
71,Kebab
72,North Indian
73,Chinese
73,Continental
73,Italian
73,North Indian
74,Fast Food
74,Rolls
74,Momos
75,Street Food
75,Fast Food
76,South Indian
77,Biryani
77,South Indian
78,Fast Food
79,South Indian
79,Chinese
79,North Indian
80,Seafood
80,North Indian
80,Chinese
80,Andhra
80,Biryani
80,Kebab
81,Beverages
81,Desserts
81,Ice Cream
82,Mithai
82,Street Food
83,North Indian
83,Chinese
84,South Indian
84,Chinese
85,Bakery
85,Desserts
86,Biryani
86,North Indian
86,Chinese
87,North Indian
88,Desserts
89,Biryani
90,Bakery
90,Desserts
91,South Indian
92,South Indian
93,Ice Cream
94,North Indian
95,South Indian
95,North Indian
95,Chinese
96,Fast Food
96,Bakery
97,North Indian
97,Iranian
98,Fast Food
98,Street Food
99,Ice Cream
99,Desserts
99,Beverages
99,Sandwich
100,South Indian
101,South Indian
102,South Indian
102,Biryani
103,Bakery
104,Cafe
104,Bakery
105,Bakery
105,Desserts
106,Biryani
106,North Indian
106,Chinese
106,Fast Food
107,Beverages
108,Biryani
109,North Indian
110,Sandwich
110,Pizza
110,Beverages
111,North Indian
112,Bakery
112,Desserts
113,Mithai
114,Bakery
115,North Indian
115,Street Food
116,South Indian
117,Ice Cream
117,Desserts
117,Juices
118,Mangalorean
118,South Indian
118,North Indian
119,Chinese
119,North Indian
120,South Indian
120,North Indian
120,Chinese
120,Street Food
121,Mangalorean
121,South Indian
121,North Indian
122,Fast Food
122,South Indian
123,Street Food
123,Fast Food
124,Ice Cream
124,Desserts
125,South Indian
125,North Indian
125,Continental
126,Biryani
126,Chinese
126,South Indian
126,North Indian
127,South Indian
128,Rolls
128,North Indian
129,South Indian
130,Biryani
130,Rolls
130,Chinese
131,North Indian
132,Biryani
132,Fast Food
133,Beverages
133,Juices
134,Beverages
134,Fast Food
134,Juices
135,South Indian
136,South Indian
136,Chinese
137,Andhra
138,Biryani
139,South Indian
139,Biryani
140,Desserts
141,Healthy Food
141,Juices
141,Sandwich
142,South Indian
142,Biryani
143,Pizza
143,Fast Food
144,South Indian
144,Beverages
145,South Indian
145,North Indian
145,Chinese
146,North Indian
146,Chinese
147,South Indian
148,South Indian
148,North Indian
148,Chinese
148,Beverages
149,South Indian
149,Chinese
149,North Indian
149,Juices
150,North Indian
150,Kebab
150,Biryani
150,Chinese
151,Chinese
151,North Indian
151,Mughlai
151,Rolls
152,North Indian
152,Mughlai
152,Fast Food
153,Burger
153,Fast Food
154,Fast Food
155,Desserts
155,Ice Cream
155,Beverages
155,Fast Food
155,Sandwich
156,North Indian
156,Chinese
156,Biryani
156,Beverages
157,Beverages
157,Juices
157,Ice Cream
158,North Indian
158,Chinese
159,North Indian
159,Mughlai
159,Chinese
160,Biryani
161,Biryani
162,Chinese
162,Seafood
