Unnamed: 0,Dish_liked
0,Pasta
0,Lunch Buffet
0,Masala Papad
0,Paneer Lajawab
0,Tomato Shorba
0,Dum Biryani
0,Sweet Corn Soup
1,Momos
1,Lunch Buffet
1,Chocolate Nirvana
1,Thai Green Curry
1,Paneer Tikka
1,Dum Biryani
1,Chicken Biryani
2,Churros
2,Cannelloni
2,Minestrone Soup
2,Hot Chocolate
2,Pink Sauce Pasta
2,Salsa
2,Veg Supreme Pizza
3,Masala Dosa
4,Panipuri
4,Gol Gappe
5,Onion Rings
5,Pasta
5,Kadhai Paneer
5,Salads
5,Salad
5,Roti
5,Jeera Rice
6,Not Provided
7,Farmhouse Pizza
7,Chocolate Banana
7,Virgin Mojito
7,Pasta
7,Paneer Tikka
7,Lime Soda
7,Prawn Pizza
8,Pizza
8,Mocktails
8,Coffee
8,Nachos
8,Salad
8,Pasta
8,Sandwiches
9,Waffles
9,Pasta
9,Coleslaw Sandwich
9,Choco Waffle
9,Tacos
9,Momos
9,Cheese Nachos
10,Waffles
10,Pasta
10,Crispy Chicken
10,Honey Chilli Chicken
10,Sandwich
10,Coffee
10,Crepe
11,Mocktails
11,Peri Fries
11,Lasagne
11,Pizza
11,Chicken Bbq Wings
11,Virgin Mojito
11,Nachos
12,Coffee
12,Spaghetti
12,Pancakes
12,Nachos
12,Pasta
12,Sandwich
12,Garlic Bread
13,Sandwich
13,Omelette
13,Ice Tea
13,Virgin Mojito
13,Hot Chocolate
13,Pasta Arrabiata
13,Hazelnut Cappuccino
14,Churros
14,Cannelloni
14,Minestrone Soup
14,Hot Chocolate
14,Pink Sauce Pasta
14,Salsa
14,Veg Supreme Pizza
15,Garlic Bread
15,Burgers
15,Sandwiches
15,Pizza
15,Hot Chocolate Fudge
15,Waffles
15,Potato Wedges
16,Momos
16,Mushroom Bruschettas
16,Jalapeno Cheeseballs
16,Pasta
16,Red Velvet Shake
16,Red Velvet Milkshake
16,Maggi
17,Pasta
17,Gelato
17,Garlic Bread
17,Mojito
17,Nachos
17,Paneer Pizza
17,Mocktails
18,Cheese Maggi
18,Peri Peri Fries
18,Pasta Arrabiata
19,Not Provided
20,Burgers
20,Caramel Milkshake
20,Iced Coffee
20,Iced Tea
21,Pizza
21,Garlic Bread
22,Not Provided
23,Pasta
23,Iced Tea
24,Not Provided
25,Not Provided
26,Not Provided
27,Not Provided
28,Not Provided
29,Paratha
29,Sandwich
29,Chilli Idli
29,Noodles
29,Sandwiches
29,Lime Soda
30,Pizza
30,Fries
30,Anjeer Ice Cream
30,Sandwiches
30,Gelato
30,Burgers
30,Kesar Badam
31,Burgers
31,Lassi
31,Chicken Grill
31,Naan
31,Momos
31,Chicken Burger
31,Biryani
32,Not Provided
33,Paneer Tikka
33,Garlic Bread
33,Thin Crust Pizza
33,Falafel
33,Veggie Pizza
34,Rolls
34,Veggie Wrap
34,Chocolate Fantasy
34,Rice Bowls
34,Chicken Rice
34,Paneer Makhanwala
34,Chicken Tikka Wrap
35,Raita
35,Gulab Jamun
35,Paneer Biryani
35,Vegetable Biryani
35,Gosht Dum Biryani
35,Chicken Biryani
35,Murgh Biryani
36,Not Provided
37,Noodles
37,Momos
37,Veg Manchow Soup
37,Kung Pao Chicken
37,Chicken Lollipop
37,Chop Suey
37,Dragon Chicken
38,Chicken Tikka Masala
38,Mutton Keema Dosa
38,Mutton Biryani
38,Raan Biryani
38,Brain Fry
38,Chicken Grill
38,Ghee Rice
39,Not Provided
40,Dabeli
40,Faluda
40,Masala Poori
40,Sandwiches
40,Tokri Chaat
40,Pav Bhaji
40,Dahipuri
41,Not Provided
42,Burgers
42,Fries
42,Hot Chocolate
43,Pane Pizza
43,Lava Cake
43,Pasta
43,Stuffed Garlic Bread
43,Chocolava Cake
43,Tacos
44,Farmhouse Pizza
44,Chocolate Banana
44,Virgin Mojito
44,Pasta
44,Paneer Tikka
44,Lime Soda
44,Prawn Pizza
45,Prompt Service
46,Biryani
47,Butter Chicken
47,Noodles
47,Thali
47,Biryani
48,Momos
48,Dragon Chicken
48,Hakka Noodles
48,Chowmein
48,Chop Suey
48,Chilli Garlic Noodles
48,Garlic Rice
49,Paratha
49,Pasta
50,Not Provided
51,Not Provided
52,Hot Chocolate Fudge
52,Vanilla Ice Cream
52,Fudge Cake
52,Chocolate Mousse
53,Prawn Biryani
53,Dragon Chicken
53,Chicken Boneless Biryani
53,Afghani Biryani
53,Mughlai Biryani
53,Paneer Tikka Biryani
53,Gongura Biryani
54,Pasta
