Unnamed: 0,Rest_type
0,Casual Dining
1,Casual Dining
2,Cafe
2,Casual Dining
3,Quick Bites
4,Casual Dining
5,Casual Dining
6,Casual Dining
7,Casual Dining
7,Cafe
8,Cafe
9,Cafe
10,Cafe
11,Cafe
12,Cafe
13,Cafe
14,Cafe
14,Casual Dining
15,Cafe
16,Cafe
17,Cafe
18,Cafe
19,Cafe
20,Cafe
21,Cafe
22,Cafe
23,Quick Bites
23,Cafe
24,Cafe
25,Cafe
26,Cafe
26,Quick Bites
27,Cafe
28,Cafe
29,Casual Dining
29,Cafe
30,Cafe
31,Quick Bites
32,Delivery
33,Delivery
34,Quick Bites
35,Delivery
36,Quick Bites
37,Casual Dining
38,Casual Dining
39,Quick Bites
40,Quick Bites
41,Mess
42,Quick Bites
43,Quick Bites
44,Casual Dining
44,Cafe
45,Delivery
46,Quick Bites
47,Casual Dining
48,Casual Dining
49,Quick Bites
50,Quick Bites
51,Quick Bites
52,Dessert Parlor
53,Casual Dining
54,Quick Bites
55,Delivery
56,Quick Bites
57,Casual Dining
58,Quick Bites
59,Dessert Parlor
60,Casual Dining
61,Casual Dining
62,Quick Bites
63,Casual Dining
64,Bakery
64,Dessert Parlor
65,Quick Bites
66,Quick Bites
67,Pub
68,Bakery
69,Quick Bites
70,Takeaway
70,Delivery
71,Quick Bites
72,Quick Bites
73,Delivery
74,Quick Bites
75,Takeaway
75,Delivery
76,Quick Bites
77,Quick Bites
78,Quick Bites
79,Quick Bites
80,Fine Dining
81,Beverage Shop
82,Sweet Shop
83,Casual Dining
84,Quick Bites
85,Bakery
86,Casual Dining
87,Quick Bites
88,Dessert Parlor
89,Quick Bites
90,Delivery
91,Takeaway
91,Delivery
92,Mess
93,Dessert Parlor
94,Casual Dining
95,Bar
96,Quick Bites
97,Casual Dining
98,Quick Bites
99,Dessert Parlor
100,Quick Bites
101,Quick Bites
102,Quick Bites
103,Takeaway
103,Delivery
104,Cafe
105,Bakery
106,Quick Bites
107,Takeaway
107,Delivery
108,Quick Bites
109,Quick Bites
110,Takeaway
110,Delivery
111,Quick Bites
112,Bakery
113,Dessert Parlor
114,Bakery
115,Quick Bites
116,Takeaway
116,Delivery
117,Dessert Parlor
118,Quick Bites
119,Bar
120,Quick Bites
121,Quick Bites
122,Quick Bites
123,Quick Bites
124,Dessert Parlor
125,Delivery
126,Quick Bites
127,Delivery
128,Quick Bites
129,Quick Bites
130,Takeaway
130,Delivery
131,Quick Bites
132,Quick Bites
133,Beverage Shop
134,Beverage Shop
134,Quick Bites
135,Takeaway
135,Delivery
136,Quick Bites
137,Quick Bites
138,Quick Bites
139,Quick Bites
140,Confectionery
141,Quick Bites
141,Beverage Shop
142,Quick Bites
143,Takeaway
143,Delivery
144,Quick Bites
145,Casual Dining
146,Bar
147,Quick Bites
148,Casual Dining
149,Quick Bites
150,Casual Dining
151,Quick Bites
152,Takeaway
152,Delivery
153,Quick Bites
154,Quick Bites
155,Dessert Parlor
156,Casual Dining
157,Beverage Shop
158,Quick Bites
159,Quick Bites
160,Takeaway
160,Delivery
161,Quick Bites
162,Casual Dining
163,Dessert Parlor
163,Sweet Shop
164,Cafe
165,Quick Bites
166,Casual Dining
167,Beverage Shop
168,Quick Bites
169,Sweet Shop
170,Takeaway
170,Delivery
171,Quick Bites
172,Quick Bites
173,Bakery
174,Quick Bites
175,Quick Bites
176,Quick Bites
177,Quick Bites
178,Quick Bites
179,Casual Dining
180,Cafe
181,Beverage Shop
182,Casual Dining
183,Quick Bites
184,Quick Bites
185,Dessert Parlor
186,Quick Bites
187,Quick Bites
188,Quick Bites
189,Quick Bites
190,Quick Bites
191,Quick Bites
192,Quick Bites
193,Cafe
194,Casual Dining
195,Casual Dining
196,Quick Bites
197,Quick Bites
198,Quick Bites
199,Cafe
200,Casual Dining
201,Casual Dining
202,Dessert Parlor
203,Quick Bites
204,Quick Bites
205,Quick Bites
206,Casual Dining
207,Casual Dining
208,Quick Bites
209,Casual Dining
210,Casual Dining
211,Casual Dining
212,Cafe
213,Quick Bites
214,Quick Bites
215,Casual Dining
216,Quick Bites
217,Casual Dining
218,Quick Bites
219,Dessert Parlor
220,Casual Dining
221,Casual Dining
222,Quick Bites
223,Casual Dining
224,Casual Dining
225,Casual Dining
226,Beverage Shop
227,Quick Bites
228,Quick Bites
229,Quick Bites
230,Casual Dining
230,Cafe
231,Quick Bites
232,Bakery
233,Dessert Parlor
234,Quick Bites
235,Casual Dining
236,Quick Bites
237,Quick Bites
238,Dessert Parlor
239,Casual Dining
240,Quick Bites
241,Bakery
241,Quick Bites
242,Quick Bites
243,Quick Bites
244,Quick Bites
245,Quick Bites
246,Quick Bites
247,Quick Bites
248,Casual Dining
249,Sweet Shop
250,Beverage Shop
251,Quick Bites
252,Quick Bites
253,Quick Bites
254,Cafe
255,Casual Dining
256,Quick Bites
257,Casual Dining
258,Casual Dining
259,Casual Dining
260,Casual Dining
261,Quick Bites
262,Quick Bites
263,Quick Bites
264,Casual Dining
265,Quick Bites
266,Quick Bites
267,Quick Bites
268,Quick Bites
268,Cafe
269,Dessert Parlor
270,Sweet Shop
271,Casual Dining
272,Quick Bites
273,Bakery
274,Quick Bites
275,Casual Dining
276,Quick Bites
277,Casual Dining
278,Casual Dining
279,Cafe
280,Quick Bites
281,Casual Dining
282,Delivery
283,Dessert Parlor
284,Quick Bites
285,Casual Dining
286,Casual Dining
287,Quick Bites
288,Quick Bites
289,Dessert Parlor
290,Casual Dining
291,Cafe
292,Quick Bites
293,Cafe
294,Quick Bites
295,Quick Bites
296,Casual Dining
297,Quick Bites
298,Casual Dining
299,Casual Dining
300,Quick Bites
301,Quick Bites
302,Quick Bites
303,Casual Dining
304,Quick Bites
305,Cafe
306,Casual Dining
307,Cafe
308,Quick Bites
309,Casual Dining
310,Cafe
311,Casual Dining
312,Quick Bites
313,Quick Bites
314,Delivery
315,Casual Dining
316,Casual Dining
317,Dessert Parlor
318,Quick Bites
319,Quick Bites
320,Quick Bites
321,Quick Bites
322,Dessert Parlor
323,Cafe
324,Quick Bites
325,Quick Bites
326,Quick Bites
327,Casual Dining
328,Dessert Parlor
329,Quick Bites
330,Cafe
331,Sweet Shop
332,Quick Bites
333,Casual Dining
334,Cafe
335,Beverage Shop
336,Cafe
337,Bar
338,Casual Dining
339,Quick Bites
340,Quick Bites
